rvprcomments,wasreturned,wfsku,year
"Its a perfect size and looks just like the pictures. The glass top is very thick and heavy, both indicators of good quality and I believe will be durable.",0,E,2017
I think it should have 2 of the small rotating brushes not just 1 but it works pretty well for my small space,0,F,2017
totally love this memory foam topper *****,0,G,2017
well exceeded my expectations.  sturdy construction and quality materials,0,H,2018
"LOVE, LOVE, LOVE!!!",0,I,2017
"Perfect rug for inside a sliding glass door.  Just the right size and it looks exactly like the picture.  A pleasant surprise, it came one day sooner than expected.",0,J,2018
"This is a beautiful rug for the price.  It was a little thinner than I would have liked, but will work great for our dining room.",0,A,2018
"PERFECT STUFFING,",0,B,2017
I love my headboard. It's the perfect gray!,0,C,2018
I love it! It's just the right size and is the perfect unique item that offsets the other items in my sitting room.,0,D,2017
The style and color goes great with my house style.,0,E,2018
These stools are perfect and very sturdy.  One came damage but Wayfair was so helpful in getting it quickly replaced.  They were exactly like the picture and the bottoms have a plastic knob that won't damage the hardwood floor. Love these stools,0,F,2018
Nice and elegant. Like it a lot!,0,G,2018
"I kept th above to use as forms for pillow covers. Color poor and poorly stuffed.
I loved the paisley pillow but it did not go with my other pillows.",0,H,2017
"Absolutely beautiful metal feather. This little guy is going up on the wall right when you walk into my house, it’s a show stopper :)",0,I,2018
We Just put this shower curtain up and my husband and I both love it! With out a doubt the best shower curtain I've ever bought. Beautiful design and fabric. The colors work perfect in our bathroom.,0,J,2017
"This table is well made and easy to put together. The drawers catch when you open them and are small, but I don't really use them anyway. I changed the pulls to black, which was easy. Great for the price!",0,A,2017
Perfect!!!,0,B,2017
"The color is not as shown...it's more cream than white, so it does not match the table I purchased.  It is, though, a solid stool that was very easy to assemble myself!",0,C,2018
It is a beautiful design and my son loves it.,0,D,2017
perfect!,0,E,2018
Great set! Easy to put together and fits nicely on our small porch.,0,F,2017
Like it very much...the only issue would be that it attracts dust very easily!,0,G,2017
So cute. Bright colors and very soft!!,0,H,2017
Great quality and looks great. Highly recommend!,0,I,2017
"Such a soft blanket! We use it as an optional layer on our bed, and it is light but so warm and soft!",0,J,2017
nice quality easy assembly,0,A,2018
Looking just the same,0,B,2017
The lamps are pretty.  A great accent and not the hum drum look of most....enjoying.,0,C,2017
Firm and feels good.,0,D,2018
"Super comfy....kids in my office love it. Size is comfortable for kids, teens and adults. Perfect reading chair.",0,E,2017
"I really like the bar stools. However, I thought the blue was going to be darker but it works. Plus they were really easy to assemble.",0,F,2017
It looks so good in my front room. I have a grey couch on top as well as a white round coffee table. Matches so well!,0,G,2018
Love the set... instructions not very well done... looks great though,0,H,2017
Perfect! From ordering to delivery the process was skating rink smooth. And the product matched the picture. Did I mention the price was less than I had planned to spend.,0,I,2018
"It's pretty much just what I expected from the picture/description, just what I was looking for. It's not too flimsy or cheap feeling. My only issue is I haven't been able to get it level but I'm still adjusting it to get it right.",0,J,2017
Perfect. Sturdy. Well constructed. Had them put together in 5 minutes. Impressive,0,A,2017
Vertical supports are a bit wobbly. Hammered in some wooden shims and it did the trick.,0,B,2018
Great rug,0,C,2018
"My dogs love this bed and the thickness is great, the picture doesn't lie.",0,D,2018
Solid and unmovable ironing board. Surface is 100% cotton. Will last a long time.,0,E,2017
"Love it. Very well built, sturdy and beaudiiful",0,F,2018
"Nice size. Firm cushions, lightweight so easy to move around. Fast delivery.",0,G,2018
Well made very colorful pillow. Ordered the same pillow in tangerine also and they  look great on an outdoor bench along with 2 tropical print pillows.  Pleased with purchase and had no problem with the order.,0,H,2017
Gorgeous!!,0,I,2018
Comfy and looks good!,0,J,2018
Smaller than I thought,0,A,2018
awesome,0,B,2017
First memory foam pillow I ever purchased and it will be my last. Too hard and flatter than expected. Will keep as a back support when I sit up in bed to watch TV.,0,C,2017
The pillows were exactly what I was expecting!,0,D,2018
beautiful when lit or off,0,E,2017
"I should have paid attention to the height as it is a little short for my space. Otherwise, it serves a nice purpose.",0,F,2017
gorgeous,0,G,2018
Love this light but one of the white light covers sat crooked due to the arm welded a little crooked. Had to adjust it ourselves to make it straight.  Otherwise looks nice,0,H,2018
Excellent---love it!,0,I,2018
gorgeous frame! ordered two!,0,J,2018
"I purchase this bed for my grandson when he visit me. its just enough for him and it sleeps well enough for an adult.
looks great also.",0,A,2018
NICE,0,B,2018
"Love this set-good quality and size, vibrant colors!  Completely changed the look of my bedroom!  I have been looking for the right comforter for well over a year, and this was the right one for me!",0,C,2018
Love the tables. Just wish the yellow was a little more muted. Will probably antique them with black wax.,0,D,2017
Great rug! Sculpted and different weaves throughout. Very thin so perfect to place on my wall-to-wall carpet.,0,E,2017
great quality,0,F,2018
I looks better than sheets over my furniture.  It does a nice job protecting my chair.  Would recommend.,0,G,2017
No complaints it's does its job.,0,H,2017
"Ohhhh, how I love this bar stool. The walnut finish is very rich, and our teal upholstery is beautiful. I just wish the workmanship were a bit more consistent, because only one of our three barstools is just right (I feel like Goldilocks!!). One barstool has pretty significant wrinkles/imperfections in the seat padding/upholstery, and on the other one the curved wood veneer has obvious seams (the wood doesn't meet quite properly). Easy to put together, though, and the adjustable seat height and swivel functions are flawless.",0,I,2018
I really like the stool.  We wanted a shorter one to use around the coffee table when we needed some extra seating for guests.  This one is the perfect size and weight.  It's actually heavier than I thought it would be.  It's really a awesome stool!,0,J,2017
Nice quality for the price! The curtains are lined and and the color looks like the picture.,0,A,2018
I love it,0,B,2017
Beautiful finish. Accentuates the curtains very well.,0,C,2018
I absolutely love it!!!,0,D,2017
Great lamp with heavy base.,0,E,2018
"Chair is gorgeous and was easy to put together. Literally took less than 5 minutes after it was all unpackaged. Packaging was more than adequate, to protect the integrity of the furniture. The chair itself is so comfortable, and very well made.",0,F,2017
love this chair!! its nice looking and comfy,0,G,2018
"Wayfair gave a great price, great shipping and great product. Very please with my entire transaction!",0,H,2018
Perfect size for pasta or salad. Classic style coordinates with everything,0,I,2018
Absolutely beautiful furniture!,0,J,2018
